Serial_No,Fund_Name,Fund_Family,Fund_Class,Plan,Options,Riskometer,CRISIL_MF_RANK,Sector_Allocation_size,Sector1_Name,Sector1_Percentage,Sector2_Name,Sector2_Percentage,Sector3_Name,Sector3_Percentage,Sector4_Name,Sector4_Percentage,Sector5_Name,Sector5_Percentage,Sector6_Name,Sector6_Percentage,Sector7_Name,Sector7_Percentage,Sector8_Name,Sector8_Percentage,Sector9_Name,Sector9_Percentage,Sector10_Name,Sector10_Percentage,Total_percentage_of _allocation
1,Aditya Birla Sun Life Banking And Financial Services Fund - Direct Plan (G),Aditya Birla Sun Life Mutual Fund ,Sector - Banking & Finance,Direct,Growth,H,NR,4,Banking/Finance,90.18,Conglomerates,2.58,Miscellaneous,2.45,Manufacturing,2.01,,,,,,,,,,,,,97.22
2,Aditya Birla Sun Life Frontline Equity Fund - Direct Plan (G),Aditya Birla Sun Life Mutual Fund ,Large Cap,Direct,Growth,MH,4,10,Banking/Finance,34,Automotive,9.43,Oil & Gas,7.83,Technology,7.39,Metals & Mining,5.71,Pharmaceuticals,5.21,Engineering & Capital Goods,4.53,Tobacco,3.94,Manufacturing,3.8,Consumer Non-durables,3.79,85.63
3,Aditya Birla Sun Life New Millennium Fund - Direct Plan (G),Aditya Birla Sun Life Mutual Fund ,Sector - Technology,Direct,Growth,H,NR,4,Technology,71.34,Telecom,19.37,Media,6.19,Miscellaneous,1.18,,,,,,,,,,,,,98.08
4,Aditya Birla Sun Life Top 100 Fund - Direct Plan (G),Aditya Birla Sun Life Mutual Fund ,Large Cap,Direct,Growth,MH,5,10,Banking/Finance,31.48,Oil & Gas,9.68,Automotive,8.11,Technology,7.08,Metals & Mining,6.31,Pharmaceuticals,4.34,Manufacturing,4.06,Tobacco,4.11,Utilities,2.78,Engineering & Capital Goods,3.12,81.07
5,HDFC Large Cap Fund - Direct Plan (G),HDFC Mutual Fund,Large Cap,Direct,Growth,MH,1,8,Banking/Finance,37.03,Oil & Gas,21.74,Automotive,13.81,Engineering,8.23,Technology,4.7,Utilities,4.01,Cement & Construction,3.2,Metals & Mining,1.32,,,,,94.04
6,HDFC Top 200 Fund - Direct Plan (G),HDFC Mutual Fund,Large Cap,Direct,Growth,MH,3,10,Banking/Finance,32.5,Technology,11.04,Engineering,9.64,Oil & Gas,9.26,Utilities,6.79,Metals & Mining,6.07,Tobacco,4.21,Pharmaceuticals,3.6,Automotive,3.42,Chemicals,2.39,88.92
7,ICICI Prudential Banking & Financial Services Fund - Direct Plan (G),ICICI Prudential Mutual Fund,Sector - Banking & Finance,Direct,Growth,H,NR,4,Banking/Finance,80.77,Manufacturing,2.37,Miscellaneous,1.25,Conglomerates,0.76,,,,,,,,,,,,,85.15
8,ICICI Prudential FMCG Fund - Direct Plan (G),ICICI Prudential Mutual Fund ,Sector - FMCG,Direct,Growth,H,NR,5,Tobacco,32.9,Cons NonDurable,32.13,Food & Beverage,14.16,Miscellaneous,6.53,Retail & Real Estate,5.29,,,,,,,,,,,91.01
9,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan (G),ICICI Prudential Mutual Fund ,Large Cap,Direct,Growth,MH,4,10,Banking/Finance,31.42,Automotive,12.27,Oil & Gas,8.23,Technology,7.7,Utilities,5.82,Pharmaceuticals,5.33,Telecommunication,4.11,Metals & Mining,3.96,Tobacco,3.57,Engineering & Capital Goods,3.39,85.8
10,ICICI Prudential Technology Fund - Direct Plan (G),ICICI Prudential Mutual Fund,Sector - Technology,Direct,Growth,H,NR,1,Technology,93.63,,,,,,,,,,,,,,,,,,,93.63
11,Reliance Pharma Fund - Direct Plan (G),Reliance Mutual Fund,Sector - Pharma & Healthcare,Direct,Growth,H,NR,4,Pharmaceuticals,82.81,Services,12.85,Manufacturing,1.82,Miscellaneous,0.56,,,,,,,,,,,,,98.04
12,SBI Banking & Financial Services Fund - Direct Plan (G),SBI Mutual Fund,Sector - Banking & Finance,Direct,Growth,H,NR,3,Banking/Finance,77.54,Conglomerates,7.36,Miscellaneous,3.95,,,,,,,,,,,,,,,88.85
13,SBI Blue Chip Fund - Direct Plan (G),SBI Mutual Fund,Large Cap,Direct,Growth,MH,4,10,Banking/Finance,28.1,Automotive,10.6,Pharmaceuticals,5.88,Oil & Gas,5.86,Engineering,5.77,Conglomerates,4.72,Chemicals,4.27,Food & Beverages,3.93,Manufacturing,3.3,Tobacco,2.71,75.14
