,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
16705,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,17.7675,17.2345,17.7675,01-Jan-2013
16706,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,17.7119,17.1805,17.7119,02-Jan-2013
16707,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.0361,17.495,18.0361,03-Jan-2013
16708,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.1073,17.5641,18.1073,04-Jan-2013
16709,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.2897,17.741,18.2897,07-Jan-2013
16710,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.1822,17.6367,18.1822,08-Jan-2013
16711,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.104,17.5609,18.104,09-Jan-2013
16712,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.2568,17.7091,18.2568,10-Jan-2013
16713,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.354,17.8034,18.354,11-Jan-2013
16714,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3035,17.7544,18.3035,14-Jan-2013
16715,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3222,17.7725,18.3222,15-Jan-2013
16716,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3199,17.7703,18.3199,16-Jan-2013
16717,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.1566,17.6119,18.1566,17-Jan-2013
16718,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.1209,17.5773,18.1209,18-Jan-2013
16719,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.1393,17.5951,18.1393,21-Jan-2013
16720,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.1845,17.639,18.1845,22-Jan-2013
16721,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.2222,17.6755,18.2222,23-Jan-2013
16722,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3272,17.7774,18.3272,24-Jan-2013
16723,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.468,17.914,18.468,25-Jan-2013
16724,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.6984,18.1374,18.6984,28-Jan-2013
16725,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.5668,18.0098,18.5668,29-Jan-2013
16726,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.5291,17.9732,18.5291,30-Jan-2013
16727,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3896,17.8379,18.3896,31-Jan-2013
16728,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3147,17.7653,18.3147,01-Feb-2013
16729,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3941,17.8423,18.3941,04-Feb-2013
16730,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.167,17.622,18.167,05-Feb-2013
16731,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.2971,17.7482,18.2971,06-Feb-2013
16732,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.2489,17.7014,18.2489,07-Feb-2013
16733,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.258,17.7103,18.258,08-Feb-2013
16734,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3625,17.8116,18.3625,11-Feb-2013
16735,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3998,17.8478,18.3998,12-Feb-2013
16736,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3267,17.7769,18.3267,13-Feb-2013
16737,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3407,17.7905,18.3407,14-Feb-2013
16738,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3259,17.7761,18.3259,15-Feb-2013
16739,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3303,17.7804,18.3303,18-Feb-2013
16740,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.3174,17.7679,18.3174,19-Feb-2013
16741,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.331,17.7811,18.331,20-Feb-2013
16742,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,18.1073,17.5641,18.1073,21-Feb-2013
16743,111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,17.8048,17.2707,17.8048,22-Feb-2013
