,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
11064,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.832,10.778,10.832,01-Jan-2013
11065,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.852,10.798,10.852,02-Jan-2013
11066,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.844,10.79,10.844,03-Jan-2013
11067,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.847,10.793,10.847,04-Jan-2013
11068,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.851,10.797,10.851,07-Jan-2013
11069,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.851,10.797,10.851,08-Jan-2013
11070,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.87,10.816,10.87,09-Jan-2013
11071,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.866,10.812,10.866,10-Jan-2013
11072,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.878,10.824,10.878,11-Jan-2013
11073,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.865,10.811,10.865,14-Jan-2013
11074,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.876,10.822,10.876,15-Jan-2013
11075,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.894,10.84,10.894,16-Jan-2013
11076,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.882,10.828,10.882,17-Jan-2013
11077,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.889,10.835,10.889,18-Jan-2013
11078,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.89,10.836,10.89,21-Jan-2013
11079,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.917,10.862,10.917,22-Jan-2013
11080,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.909,10.854,10.909,23-Jan-2013
11081,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.925,10.87,10.925,24-Jan-2013
11082,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.916,10.861,10.916,25-Jan-2013
11083,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.927,10.872,10.927,28-Jan-2013
11084,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option,10.934,10.879,10.934,29-Jan-2013
