,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
76738,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.34,14.2,14.34,01-Jan-2013
76739,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.49,14.35,14.49,02-Jan-2013
76740,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.61,14.46,14.61,03-Jan-2013
76741,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.67,14.52,14.67,04-Jan-2013
76742,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.74,14.59,14.74,07-Jan-2013
76743,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.69,14.54,14.69,08-Jan-2013
76744,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.71,14.56,14.71,09-Jan-2013
76745,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.65,14.5,14.65,10-Jan-2013
76746,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.49,14.35,14.49,11-Jan-2013
76747,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.67,14.52,14.67,14-Jan-2013
76748,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.69,14.54,14.69,15-Jan-2013
76749,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.6,14.45,14.6,16-Jan-2013
76750,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.58,14.43,14.58,17-Jan-2013
76751,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.52,14.37,14.52,18-Jan-2013
76752,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.62,14.47,14.62,21-Jan-2013
76753,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.51,14.36,14.51,22-Jan-2013
76754,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.42,14.28,14.42,23-Jan-2013
76755,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.14,14.0,14.14,24-Jan-2013
76756,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.25,14.11,14.25,25-Jan-2013
76757,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.24,14.1,14.24,28-Jan-2013
76758,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.21,14.07,14.21,29-Jan-2013
76759,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.2,14.06,14.2,30-Jan-2013
76760,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.19,14.05,14.19,31-Jan-2013
76761,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.16,14.02,14.16,01-Feb-2013
76762,102530,ICICI Prudential MidCap Fund - Institutional Option - I,14.03,13.89,14.03,04-Feb-2013
76763,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.92,13.78,13.92,05-Feb-2013
76764,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.91,13.77,13.91,06-Feb-2013
76765,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.83,13.69,13.83,07-Feb-2013
76766,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.83,13.69,13.83,08-Feb-2013
76767,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.79,13.65,13.79,11-Feb-2013
76768,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.75,13.61,13.75,12-Feb-2013
76769,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.79,13.65,13.79,13-Feb-2013
76770,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.58,13.44,13.58,14-Feb-2013
76771,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.51,13.37,13.51,15-Feb-2013
76772,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.61,13.47,13.61,18-Feb-2013
76773,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.72,13.58,13.72,19-Feb-2013
76774,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.83,13.69,13.83,20-Feb-2013
76775,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.62,13.48,13.62,21-Feb-2013
76776,102530,ICICI Prudential MidCap Fund - Institutional Option - I,13.63,13.49,13.63,22-Feb-2013
