,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
72578,120752,UTI Opportunities Fund-Dividend Option-Direct,15.38,15.38,0.0,02-Jan-2013
72579,120752,UTI Opportunities Fund-Dividend Option-Direct,15.39,15.39,0.0,03-Jan-2013
72580,120752,UTI Opportunities Fund-Dividend Option-Direct,15.41,15.41,0.0,04-Jan-2013
72581,120752,UTI Opportunities Fund-Dividend Option-Direct,15.36,15.36,0.0,07-Jan-2013
72582,120752,UTI Opportunities Fund-Dividend Option-Direct,15.37,15.37,0.0,08-Jan-2013
72583,120752,UTI Opportunities Fund-Dividend Option-Direct,15.28,15.28,0.0,09-Jan-2013
72584,120752,UTI Opportunities Fund-Dividend Option-Direct,15.21,15.21,0.0,10-Jan-2013
72585,120752,UTI Opportunities Fund-Dividend Option-Direct,15.12,15.12,0.0,11-Jan-2013
72586,120752,UTI Opportunities Fund-Dividend Option-Direct,15.26,15.26,0.0,14-Jan-2013
72587,120752,UTI Opportunities Fund-Dividend Option-Direct,15.37,15.37,0.0,15-Jan-2013
72588,120752,UTI Opportunities Fund-Dividend Option-Direct,15.22,15.22,0.0,16-Jan-2013
72589,120752,UTI Opportunities Fund-Dividend Option-Direct,15.24,15.24,15.24,17-Jan-2013
72590,120752,UTI Opportunities Fund-Dividend Option-Direct,15.24,15.24,15.24,18-Jan-2013
72591,120752,UTI Opportunities Fund-Dividend Option-Direct,15.27,15.27,15.27,21-Jan-2013
72592,120752,UTI Opportunities Fund-Dividend Option-Direct,15.2136,15.2136,15.21,22-Jan-2013
72593,120752,UTI Opportunities Fund-Dividend Option-Direct,15.2217,15.2217,15.22,23-Jan-2013
72594,120752,UTI Opportunities Fund-Dividend Option-Direct,15.1557,15.1557,15.16,24-Jan-2013
72595,120752,UTI Opportunities Fund-Dividend Option-Direct,15.2551,15.2551,15.26,25-Jan-2013
72596,120752,UTI Opportunities Fund-Dividend Option-Direct,15.2391,15.2391,15.24,28-Jan-2013
72597,120752,UTI Opportunities Fund-Dividend Option-Direct,15.1859,15.1859,15.19,29-Jan-2013
72598,120752,UTI Opportunities Fund-Dividend Option-Direct,15.2155,15.2155,15.22,30-Jan-2013
72599,120752,UTI Opportunities Fund-Dividend Option-Direct,15.1982,15.1982,15.2,31-Jan-2013
72600,120752,UTI Opportunities Fund-Dividend Option-Direct,15.1382,15.1382,15.14,01-Feb-2013
72601,120752,UTI Opportunities Fund-Dividend Option-Direct,15.1186,15.1186,15.12,04-Feb-2013
72602,120752,UTI Opportunities Fund-Dividend Option-Direct,15.0658,15.0658,15.07,05-Feb-2013
72603,120752,UTI Opportunities Fund-Dividend Option-Direct,15.078,15.078,15.08,06-Feb-2013
72604,120752,UTI Opportunities Fund-Dividend Option-Direct,14.9848,14.9848,14.98,07-Feb-2013
72605,120752,UTI Opportunities Fund-Dividend Option-Direct,14.8971,14.8971,14.9,08-Feb-2013
72606,120752,UTI Opportunities Fund-Dividend Option-Direct,14.859,14.859,14.86,11-Feb-2013
72607,120752,UTI Opportunities Fund-Dividend Option-Direct,14.894,14.894,14.89,12-Feb-2013
72608,120752,UTI Opportunities Fund-Dividend Option-Direct,14.9154,14.9154,14.92,13-Feb-2013
72609,120752,UTI Opportunities Fund-Dividend Option-Direct,14.8054,14.8054,14.81,14-Feb-2013
72610,120752,UTI Opportunities Fund-Dividend Option-Direct,14.7751,14.7751,14.78,15-Feb-2013
72611,120752,UTI Opportunities Fund-Dividend Option-Direct,14.8095,14.8095,14.81,18-Feb-2013
72612,120752,UTI Opportunities Fund-Dividend Option-Direct,14.9012,14.9012,14.9,19-Feb-2013
72613,120752,UTI Opportunities Fund-Dividend Option-Direct,14.9103,14.9103,14.91,20-Feb-2013
72614,120752,UTI Opportunities Fund-Dividend Option-Direct,14.7098,14.7098,14.71,21-Feb-2013
72615,120752,UTI Opportunities Fund-Dividend Option-Direct,14.6941,14.6941,14.69,22-Feb-2013
72616,120752,UTI Opportunities Fund-Dividend Option-Direct,14.6908,14.6908,14.69,25-Feb-2013
72617,120752,UTI Opportunities Fund-Dividend Option-Direct,14.5334,14.5334,14.53,26-Feb-2013
72618,120752,UTI Opportunities Fund-Dividend Option-Direct,14.6114,14.6114,14.61,27-Feb-2013
72619,120752,UTI Opportunities Fund-Dividend Option-Direct,14.3783,14.3783,14.38,28-Feb-2013
72620,120752,UTI Opportunities Fund-Dividend Option-Direct,14.4463,14.4463,14.45,01-Mar-2013
72621,120752,UTI Opportunities Fund-Dividend Option-Direct,14.3667,14.3667,14.37,04-Mar-2013
72622,120752,UTI Opportunities Fund-Dividend Option-Direct,14.5439,14.5439,14.54,05-Mar-2013
72623,120752,UTI Opportunities Fund-Dividend Option-Direct,14.6011,14.6011,14.6,06-Mar-2013
72624,120752,UTI Opportunities Fund-Dividend Option-Direct,14.6939,14.6939,14.69,07-Mar-2013
72625,120752,UTI Opportunities Fund-Dividend Option-Direct,14.8554,14.8554,14.86,08-Mar-2013
72626,120752,UTI Opportunities Fund-Dividend Option-Direct,14.8445,14.8445,14.84,11-Mar-2013
72627,120752,UTI Opportunities Fund-Dividend Option-Direct,14.77,14.77,14.77,12-Mar-2013
