,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
123416,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0452,9.9447,10.0452,13-Feb-2015
123417,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.03,9.9297,10.03,16-Feb-2015
123418,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0346,9.9343,10.0346,18-Feb-2015
123419,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.1092,10.0081,10.1092,19-Feb-2015
123420,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0604,9.9598,10.0604,20-Feb-2015
123421,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9951,9.8951,9.9951,23-Feb-2015
123422,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0027,9.9027,10.0027,24-Feb-2015
123423,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9889,9.889,9.9889,25-Feb-2015
123424,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9215,9.8223,9.9215,26-Feb-2015
123425,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.028,9.9277,10.028,27-Feb-2015
123426,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.1996,10.0976,10.1996,02-Mar-2015
123427,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.2252,10.1229,10.2252,03-Mar-2015
123428,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.1354,10.034,10.1354,04-Mar-2015
123429,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.1479,10.0464,10.1479,05-Mar-2015
123430,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0217,9.9215,10.0217,09-Mar-2015
123431,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0318,9.9315,10.0318,10-Mar-2015
123432,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0204,9.9202,10.0204,11-Mar-2015
123433,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0778,9.977,10.0778,12-Mar-2015
123434,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9973,9.8973,9.9973,13-Mar-2015
123435,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9921,9.8922,9.9921,16-Mar-2015
123436,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0409,9.9405,10.0409,17-Mar-2015
123437,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0452,9.9447,10.0452,18-Mar-2015
123438,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0246,9.9244,10.0246,19-Mar-2015
123439,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9592,9.8596,9.9592,20-Mar-2015
123440,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9147,9.8156,9.9147,23-Mar-2015
123441,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.911,9.8119,9.911,24-Mar-2015
123442,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9001,9.8011,9.9001,25-Mar-2015
123443,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.7912,9.6933,9.7912,26-Mar-2015
123444,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.8233,9.7251,9.8233,27-Mar-2015
123445,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9596,9.86,9.9596,30-Mar-2015
123446,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9972,9.8972,9.9972,31-Mar-2015
123447,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.06,9.9594,10.06,01-Apr-2015
123448,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0919,9.991,10.0919,06-Apr-2015
123449,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0863,9.9854,10.0863,07-Apr-2015
123450,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.1461,10.0446,10.1461,08-Apr-2015
123451,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.2323,10.13,10.2323,09-Apr-2015
123452,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.2947,10.1918,10.2947,10-Apr-2015
123453,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.3141,10.211,10.3141,13-Apr-2015
123454,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.2653,10.1626,10.2653,15-Apr-2015
123455,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.2378,10.1354,10.2378,16-Apr-2015
123456,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.1245,10.0233,10.1245,17-Apr-2015
123457,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9784,9.8786,9.9784,20-Apr-2015
123458,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9426,9.8432,9.9426,21-Apr-2015
123459,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0096,9.9095,10.0096,22-Apr-2015
123460,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9868,9.8869,9.9868,23-Apr-2015
123461,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.8595,9.7609,9.8595,24-Apr-2015
123462,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.7258,9.6285,9.7258,27-Apr-2015
123463,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.8583,9.7597,9.8583,28-Apr-2015
123464,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.8589,9.7603,9.8589,29-Apr-2015
123465,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.879,9.7802,9.879,30-Apr-2015
123466,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.027,9.9267,10.027,04-May-2015
123467,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9748,9.8751,9.9748,05-May-2015
123468,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.7215,9.6243,9.7215,06-May-2015
123469,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.6103,9.5142,9.6103,07-May-2015
123470,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.8269,9.7286,9.8269,08-May-2015
123471,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9602,9.8606,9.9602,11-May-2015
123472,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.7261,9.6288,9.7261,12-May-2015
123473,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.8503,9.7518,9.8503,13-May-2015
123474,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.8739,9.7752,9.8739,14-May-2015
123475,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9219,9.8227,9.9219,15-May-2015
123476,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0286,9.9283,10.0286,18-May-2015
123477,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.023,9.9228,10.023,19-May-2015
123478,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0668,9.9661,10.0668,20-May-2015
123479,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0514,9.9509,10.0514,21-May-2015
123480,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.052,9.9515,10.052,22-May-2015
123481,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9671,9.8674,9.9671,25-May-2015
123482,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9604,9.8608,9.9604,26-May-2015
123483,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9485,9.849,9.9485,27-May-2015
123484,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.9507,9.8512,9.9507,28-May-2015
123485,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0603,9.9597,10.0603,29-May-2015
123486,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,10.0054,9.9053,10.0054,01-Jun-2015
123487,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.7803,9.6825,9.7803,02-Jun-2015
123488,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.6611,9.5645,9.6611,03-Jun-2015
123489,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.708,9.6109,9.708,04-Jun-2015
123490,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.7302,9.6329,9.7302,05-Jun-2015
123491,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.6049,9.5089,9.6049,08-Jun-2015
123492,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.5833,9.4875,9.5833,09-Jun-2015
123493,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.6825,9.5857,9.6825,10-Jun-2015
123494,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.5403,9.4449,9.5403,11-Jun-2015
123495,133568,Reliance Retirement Fund- Wealth Creation Scheme- Direct Plan- Growth Plan - Growth Option,9.5786,9.4828,9.5786,12-Jun-2015
