,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
51086,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.38,28.1,28.38,01-Jan-2013
51087,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.54,28.25,28.54,02-Jan-2013
51088,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.59,28.3,28.59,03-Jan-2013
51089,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.64,28.35,28.64,04-Jan-2013
51090,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.52,28.23,28.52,07-Jan-2013
51091,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.56,28.27,28.56,08-Jan-2013
51092,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.5,28.22,28.5,09-Jan-2013
51093,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.49,28.21,28.49,10-Jan-2013
51094,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.57,28.28,28.57,11-Jan-2013
51095,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.92,28.63,28.92,14-Jan-2013
51096,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.06,28.77,29.06,15-Jan-2013
51097,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.84,28.55,28.84,16-Jan-2013
51098,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.09,28.8,29.09,17-Jan-2013
51099,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.19,28.9,29.19,18-Jan-2013
51100,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.31,29.02,29.31,21-Jan-2013
51101,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.1,28.81,29.1,22-Jan-2013
51102,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.21,28.92,29.21,23-Jan-2013
51103,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.06,28.77,29.06,24-Jan-2013
51104,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.3,29.01,29.3,25-Jan-2013
51105,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.27,28.98,29.27,28-Jan-2013
51106,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.11,28.82,29.11,29-Jan-2013
51107,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.15,28.86,29.15,30-Jan-2013
51108,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,29.02,28.73,29.02,31-Jan-2013
51109,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.95,28.66,28.95,01-Feb-2013
51110,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.87,28.58,28.87,04-Feb-2013
51111,101295,SBI Magnum Equity Fund - REGULAR PLAN - Dividend,28.67,28.38,28.67,05-Feb-2013
