,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
43284,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.3303,12.3303,0.0,02-Jan-2013
43285,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.3729,12.3729,0.0,03-Jan-2013
43286,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.394,12.394,12.394,04-Jan-2013
43287,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.4798,12.4798,12.4798,07-Jan-2013
43288,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.4039,12.4039,12.4039,08-Jan-2013
43289,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.3948,12.3948,12.3948,09-Jan-2013
43290,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.3484,12.3484,12.3484,10-Jan-2013
43291,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.1264,12.1264,12.1264,11-Jan-2013
43292,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.2526,12.2526,12.2526,14-Jan-2013
43293,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.2869,12.2869,12.2869,15-Jan-2013
43294,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.1511,12.1511,12.1511,16-Jan-2013
43295,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.1292,12.1292,12.1292,17-Jan-2013
43296,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.0442,12.0442,12.0442,18-Jan-2013
43297,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,12.041,12.041,12.041,21-Jan-2013
43298,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.8752,11.8752,11.8752,22-Jan-2013
43299,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.8233,11.8233,11.8233,23-Jan-2013
43300,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.5933,11.5933,11.5933,24-Jan-2013
43301,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.713,11.713,11.713,25-Jan-2013
43302,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.6295,11.6295,11.6295,28-Jan-2013
43303,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.615,11.615,11.615,29-Jan-2013
43304,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.5973,11.5973,11.5973,30-Jan-2013
43305,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.5973,11.5973,11.5973,31-Jan-2013
43306,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.5298,11.5298,11.5298,01-Feb-2013
43307,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.4437,11.4437,11.4437,04-Feb-2013
43308,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.3097,11.3097,11.3097,05-Feb-2013
43309,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option,11.3824,11.3824,11.3824,06-Feb-2013
