,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
73754,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.9438,11.5855,11.9438,01-Jan-2013
73755,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.9858,11.6262,11.9858,02-Jan-2013
73756,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.0214,11.6608,12.0214,03-Jan-2013
73757,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.0379,11.6768,12.0379,04-Jan-2013
73758,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.0156,11.6551,12.0156,07-Jan-2013
73759,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.058,11.6963,12.058,08-Jan-2013
73760,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.0227,11.662,12.0227,09-Jan-2013
73761,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.9868,11.6272,11.9868,10-Jan-2013
73762,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.9166,11.5591,11.9166,11-Jan-2013
73763,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.0216,11.661,12.0216,14-Jan-2013
73764,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.0699,11.7078,12.0699,15-Jan-2013
73765,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.9893,11.6296,11.9893,16-Jan-2013
73766,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.0565,11.6948,12.0565,17-Jan-2013
73767,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.1158,11.7523,12.1158,18-Jan-2013
73768,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.1442,11.7799,12.1442,21-Jan-2013
73769,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.0522,11.6906,12.0522,22-Jan-2013
73770,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.023,11.6623,12.023,23-Jan-2013
73771,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.9333,11.5753,11.9333,24-Jan-2013
73772,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),12.0109,11.6506,12.0109,25-Jan-2013
73773,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.9871,11.6275,11.9871,28-Jan-2013
73774,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.9208,11.5632,11.9208,29-Jan-2013
73775,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.948,11.5896,11.948,30-Jan-2013
73776,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.8905,11.5338,11.8905,31-Jan-2013
73777,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.8676,11.5116,11.8676,01-Feb-2013
73778,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.8538,11.4982,11.8538,04-Feb-2013
73779,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.7979,11.444,11.7979,05-Feb-2013
73780,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.794,11.4402,11.794,06-Feb-2013
73781,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.7414,11.3892,11.7414,07-Feb-2013
73782,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.6785,11.3281,11.6785,08-Feb-2013
73783,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.6789,11.3285,11.6789,11-Feb-2013
73784,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.7406,11.3884,11.7406,12-Feb-2013
73785,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.7278,11.376,11.7278,13-Feb-2013
73786,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.6383,11.2892,11.6383,14-Feb-2013
73787,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.6124,11.264,11.6124,15-Feb-2013
73788,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.6318,11.2828,11.6318,18-Feb-2013
73789,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.7097,11.3584,11.7097,19-Feb-2013
73790,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.7234,11.3717,11.7234,20-Feb-2013
73791,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.571,11.2239,11.571,21-Feb-2013
73792,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.5728,11.2256,11.5728,22-Feb-2013
73793,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.547,11.2006,11.547,25-Feb-2013
73794,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.3913,11.0496,11.3913,26-Feb-2013
73795,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.4741,11.1299,11.4741,27-Feb-2013
73796,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.3327,10.9927,11.3327,28-Feb-2013
73797,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.4109,11.0686,11.4109,01-Mar-2013
73798,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.4046,11.0625,11.4046,04-Mar-2013
73799,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.5137,11.1683,11.5137,05-Mar-2013
73800,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.5556,11.2089,11.5556,06-Mar-2013
73801,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.608,11.2598,11.608,07-Mar-2013
73802,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.7264,11.3746,11.7264,08-Mar-2013
73803,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.693,11.3422,11.693,11-Mar-2013
73804,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.6354,11.2863,11.6354,12-Mar-2013
73805,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.5403,11.1941,11.5403,13-Mar-2013
73806,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.6169,11.2684,11.6169,14-Mar-2013
73807,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.5562,11.2095,11.5562,15-Mar-2013
73808,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.5119,11.1665,11.5119,18-Mar-2013
73809,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.368,11.027,11.368,19-Mar-2013
73810,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.301,10.962,11.301,20-Mar-2013
73811,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.2539,10.9163,11.2539,21-Mar-2013
73812,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.2525,10.9149,11.2525,22-Mar-2013
73813,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.2218,10.8851,11.2218,25-Mar-2013
73814,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.2367,10.8996,11.2367,26-Mar-2013
73815,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.3059,10.9667,11.3059,28-Mar-2013
73816,115943,Tata Retirement Savings Fund Moderate -Regular Plan (Growth),11.3333,10.9933,11.3333,01-Apr-2013
