,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
51693,100807,UTI Pharma & Healthcare Fund-Growth Option,47.69,47.69,47.69,01-Jan-2013
51694,100807,UTI Pharma & Healthcare Fund-Growth Option,47.72,47.72,47.72,02-Jan-2013
51695,100807,UTI Pharma & Healthcare Fund-Growth Option,47.81,47.81,47.81,03-Jan-2013
51696,100807,UTI Pharma & Healthcare Fund-Growth Option,47.78,47.78,47.78,04-Jan-2013
51697,100807,UTI Pharma & Healthcare Fund-Growth Option,47.92,47.92,47.92,07-Jan-2013
51698,100807,UTI Pharma & Healthcare Fund-Growth Option,48.29,48.29,48.29,08-Jan-2013
51699,100807,UTI Pharma & Healthcare Fund-Growth Option,48.37,48.37,48.37,09-Jan-2013
51700,100807,UTI Pharma & Healthcare Fund-Growth Option,48.02,48.02,48.02,10-Jan-2013
51701,100807,UTI Pharma & Healthcare Fund-Growth Option,47.51,47.51,47.51,11-Jan-2013
51702,100807,UTI Pharma & Healthcare Fund-Growth Option,47.41,47.41,47.41,14-Jan-2013
51703,100807,UTI Pharma & Healthcare Fund-Growth Option,47.37,47.37,47.37,15-Jan-2013
51704,100807,UTI Pharma & Healthcare Fund-Growth Option,47.23,47.23,47.23,16-Jan-2013
51705,100807,UTI Pharma & Healthcare Fund-Growth Option,47.11,47.11,47.11,17-Jan-2013
51706,100807,UTI Pharma & Healthcare Fund-Growth Option,46.81,46.81,46.81,18-Jan-2013
51707,100807,UTI Pharma & Healthcare Fund-Growth Option,46.66,46.66,46.66,21-Jan-2013
51708,100807,UTI Pharma & Healthcare Fund-Growth Option,46.4662,46.4662,46.47,22-Jan-2013
51709,100807,UTI Pharma & Healthcare Fund-Growth Option,46.3181,46.3181,46.32,23-Jan-2013
51710,100807,UTI Pharma & Healthcare Fund-Growth Option,45.7716,45.7716,45.77,24-Jan-2013
51711,100807,UTI Pharma & Healthcare Fund-Growth Option,46.4111,46.4111,46.41,25-Jan-2013
51712,100807,UTI Pharma & Healthcare Fund-Growth Option,46.3421,46.3421,46.34,28-Jan-2013
51713,100807,UTI Pharma & Healthcare Fund-Growth Option,46.231,46.231,46.23,29-Jan-2013
51714,100807,UTI Pharma & Healthcare Fund-Growth Option,46.3333,46.3333,46.33,30-Jan-2013
51715,100807,UTI Pharma & Healthcare Fund-Growth Option,46.4859,46.4859,46.49,31-Jan-2013
51716,100807,UTI Pharma & Healthcare Fund-Growth Option,46.7932,46.7932,46.79,01-Feb-2013
51717,100807,UTI Pharma & Healthcare Fund-Growth Option,46.1959,46.1959,46.2,04-Feb-2013
51718,100807,UTI Pharma & Healthcare Fund-Growth Option,46.5464,46.5464,46.55,05-Feb-2013
51719,100807,UTI Pharma & Healthcare Fund-Growth Option,46.4623,46.4623,46.46,06-Feb-2013
