,Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
33449,120733,UTI Banking Sector Fund-Growth Option- Direct,49.93,49.93,0.0,02-Jan-2013
33450,120733,UTI Banking Sector Fund-Growth Option- Direct,49.91,49.91,0.0,03-Jan-2013
33451,120733,UTI Banking Sector Fund-Growth Option- Direct,50.04,50.04,0.0,04-Jan-2013
33452,120733,UTI Banking Sector Fund-Growth Option- Direct,49.74,49.74,0.0,07-Jan-2013
33453,120733,UTI Banking Sector Fund-Growth Option- Direct,49.77,49.77,0.0,08-Jan-2013
33454,120733,UTI Banking Sector Fund-Growth Option- Direct,49.68,49.68,0.0,09-Jan-2013
33455,120733,UTI Banking Sector Fund-Growth Option- Direct,49.92,49.92,0.0,10-Jan-2013
33456,120733,UTI Banking Sector Fund-Growth Option- Direct,49.27,49.27,0.0,11-Jan-2013
33457,120733,UTI Banking Sector Fund-Growth Option- Direct,49.94,49.94,0.0,14-Jan-2013
33458,120733,UTI Banking Sector Fund-Growth Option- Direct,50.3,50.3,0.0,15-Jan-2013
33459,120733,UTI Banking Sector Fund-Growth Option- Direct,49.41,49.41,0.0,16-Jan-2013
33460,120733,UTI Banking Sector Fund-Growth Option- Direct,49.45,49.45,49.45,17-Jan-2013
33461,120733,UTI Banking Sector Fund-Growth Option- Direct,49.56,49.56,49.56,18-Jan-2013
33462,120733,UTI Banking Sector Fund-Growth Option- Direct,49.44,49.44,49.44,21-Jan-2013
33463,120733,UTI Banking Sector Fund-Growth Option- Direct,49.0722,49.0722,49.07,22-Jan-2013
33464,120733,UTI Banking Sector Fund-Growth Option- Direct,49.2115,49.2115,49.21,23-Jan-2013
33465,120733,UTI Banking Sector Fund-Growth Option- Direct,48.7641,48.7641,48.76,24-Jan-2013
33466,120733,UTI Banking Sector Fund-Growth Option- Direct,49.3406,49.3406,49.34,25-Jan-2013
33467,120733,UTI Banking Sector Fund-Growth Option- Direct,49.5915,49.5915,49.59,28-Jan-2013
33468,120733,UTI Banking Sector Fund-Growth Option- Direct,49.4229,49.4229,49.42,29-Jan-2013
33469,120733,UTI Banking Sector Fund-Growth Option- Direct,49.4729,49.4729,49.47,30-Jan-2013
33470,120733,UTI Banking Sector Fund-Growth Option- Direct,49.3906,49.3906,49.39,31-Jan-2013
33471,120733,UTI Banking Sector Fund-Growth Option- Direct,48.9249,48.9249,48.92,01-Feb-2013
33472,120733,UTI Banking Sector Fund-Growth Option- Direct,48.5404,48.5404,48.54,04-Feb-2013
33473,120733,UTI Banking Sector Fund-Growth Option- Direct,48.2215,48.2215,48.22,05-Feb-2013
33474,120733,UTI Banking Sector Fund-Growth Option- Direct,47.9856,47.9856,47.99,06-Feb-2013
33475,120733,UTI Banking Sector Fund-Growth Option- Direct,47.7084,47.7084,47.71,07-Feb-2013
33476,120733,UTI Banking Sector Fund-Growth Option- Direct,47.3891,47.3891,47.39,08-Feb-2013
33477,120733,UTI Banking Sector Fund-Growth Option- Direct,47.5835,47.5835,47.58,11-Feb-2013
33478,120733,UTI Banking Sector Fund-Growth Option- Direct,47.8382,47.8382,47.84,12-Feb-2013
33479,120733,UTI Banking Sector Fund-Growth Option- Direct,47.7016,47.7016,47.7,13-Feb-2013
33480,120733,UTI Banking Sector Fund-Growth Option- Direct,47.2936,47.2936,47.29,14-Feb-2013
33481,120733,UTI Banking Sector Fund-Growth Option- Direct,47.379,47.379,47.38,15-Feb-2013
33482,120733,UTI Banking Sector Fund-Growth Option- Direct,47.509,47.509,47.51,18-Feb-2013
33483,120733,UTI Banking Sector Fund-Growth Option- Direct,47.7867,47.7867,47.79,19-Feb-2013
33484,120733,UTI Banking Sector Fund-Growth Option- Direct,47.5473,47.5473,47.55,20-Feb-2013
33485,120733,UTI Banking Sector Fund-Growth Option- Direct,46.3298,46.3298,46.33,21-Feb-2013
33486,120733,UTI Banking Sector Fund-Growth Option- Direct,46.3338,46.3338,46.33,22-Feb-2013
33487,120733,UTI Banking Sector Fund-Growth Option- Direct,46.2216,46.2216,46.22,25-Feb-2013
33488,120733,UTI Banking Sector Fund-Growth Option- Direct,45.4199,45.4199,45.42,26-Feb-2013
33489,120733,UTI Banking Sector Fund-Growth Option- Direct,45.8249,45.8249,45.82,27-Feb-2013
33490,120733,UTI Banking Sector Fund-Growth Option- Direct,43.9686,43.9686,43.97,28-Feb-2013
33491,120733,UTI Banking Sector Fund-Growth Option- Direct,44.2146,44.2146,44.21,01-Mar-2013
33492,120733,UTI Banking Sector Fund-Growth Option- Direct,44.2526,44.2526,44.25,04-Mar-2013
33493,120733,UTI Banking Sector Fund-Growth Option- Direct,45.1566,45.1566,45.16,05-Mar-2013
