,ID,Name
0,118931,HDFC Arbitrage Fund -Direct Plan - Growth Option
1,106799,HDFC ARBITRAGE FUND RETAIL PLAN DIVIDEND OPTION
2,106796,HDFC ARBITRAGE FUND RETAIL PLAN GROWTH OPTION
3,106797,HDFC ARBITRAGE FUND RETAIL PLAN QUARTERLY DIVIDEND OPTION
4,106794,HDFC ARBITRAGE FUND WHOLESALE PLAN DIVIDEND OPTION
5,129053,HDFC ARBITRAGE FUND WHOLESALE PLAN DIVIDEND OPTION DIRECT PLAN
6,106793,HDFC ARBITRAGE FUND WHOLESALE PLAN GROWTH OPTION
7,129052,HDFC ARBITRAGE FUND WHOLESALE PLAN GROWTH OPTION DIRECT PLAN
8,129051,HDFC ARBITRAGE FUND WHOLESALE PLAN MONTHLY DIVIDEND OPTION
9,129054,HDFC ARBITRAGE FUND WHOLESALE PLAN MONTHLY DIVIDEND OPTION DIRECT PLAN
10,106795,HDFC ARBITRAGE FUND WHOLESALE PLAN NORMAL DIVIDEND OPTION
11,118930,HDFC Arbitrage Fund-Direct Plan - Dividend Quarterly Option
12,101765,HDFC Capital Builder Fund - Dividend Option
13,101764,HDFC Capital Builder Fund - Growth Option
14,118934,HDFC Capital Builder Fund -Direct Plan - Dividend Option
15,118935,HDFC Capital Builder Fund -Direct Plan - Growth Option
16,118949,HDFC Core & Satellite Fund -Direct Plan - Dividend Option
17,118950,HDFC Core & Satellite Fund -Direct Plan - Growth Option
18,102761,HDFC Core and Satellite Fund - DIVIDEND
19,102760,HDFC Core and Satellite Fund - GROWTH
20,101763,HDFC Equity Fund - Dividend Option
21,101762,HDFC Equity Fund - Growth Option
22,118954,HDFC Equity Fund -Direct Plan - Dividend Option
23,118955,HDFC Equity Fund -Direct Plan - Growth Option
24,101586,HDFC Equity Savings Fund - DIVIDEND
25,119129,HDFC Equity Savings Fund -Direct Plan - Dividend Option
26,119128,HDFC Equity Savings Fund -Direct Plan - Growth Option
27,101585,HDFC Equity Savings Fund -GROWTH
28,118926,HDFC Focused Large-Cap Fund -Direct Plan - Dividend Option
29,118927,HDFC Focused Large-Cap Fund -Direct Plan - Growth Option
30,103468,HDFC Focused Large-Cap Fund-Dividend
31,103469,HDFC Focused Large-Cap Fund-Growth
32,100120,HDFC Growth Fund - Dividend Option
33,100119,HDFC Growth Fund - Growth Option
34,118969,HDFC Growth Fund -Direct Plan - Dividend Option
35,118968,HDFC Growth Fund -Direct Plan - Growth Option
36,119063,HDFC Index Fund Nifty Plan-Direct Plan
37,101525,HDFC Index Fund-Nifty Plan(FV Rs 10.326)
38,119064,HDFC Index Fund Sensex Plus Plan-Direct Plan
39,101282,HDFC Index Fund-Sensex Plus( FV-Rs32.161)
40,119065,HDFC Index Fund Sensex Plan-Direct Plan
41,101281,HDFC Index FundSensex Plan( FV Rs 32.161)
42,118978,HDFC Infrastructure Fund -Direct Plan - Dividend Option
43,118979,HDFC Infrastructure Fund -Direct Plan - Growth Option
44,107525,HDFC INFRASTRUCTURE FUND-DIVIDEND OPTION
45,107524,HDFC INFRASTRUCTURE FUND-GROWTH OPTION
46,130499,HDFC Large Cap Fund - Direct Dividend Plan
47,130498,HDFC Large Cap Fund - Direct Growth Plan
48,130497,HDFC Large Cap Fund - Regular Dividend Plan
49,130496,HDFC Large Cap Fund - Regular Growth Plan
50,118988,HDFC Mid Cap Opportunities Fund -Direct Plan - Dividend Option
51,118989,HDFC Mid Cap Opportunities Fund -Direct Plan - Growth Option
52,105757,HDFC MID-CAP OPPORTUNITIES FUND - Dividend Option
53,105758,HDFC MID-CAP OPPORTUNITIES FUND - Growth Option
54,102947,HDFC Premier Multi-Cap Fund-Dividend
55,102948,HDFC Premier Multi-Cap Fund-Growth
56,119061,HDFC Premier Multicap -Direct Plan - Dividend Option
57,119062,HDFC Premier Multicap -Direct Plan - Growth Option
58,136094,HDFC Retirement Savings Fund - Equity Plan - Direct Plan
59,136090,HDFC Retirement Savings Fund - Equity Plan - Regular Plan
60,130504,HDFC Small Cap Fund - Direct Dividend Plan
61,130503,HDFC Small Cap Fund - Direct Growth Plan
62,130501,HDFC Small Cap Fund - Regular Dividend Plan
63,130502,HDFC Small Cap Fund - Regular Growth Plan
64,102001,HDFC Top 200 Fund - Dividend Option
65,102000,HDFC Top 200 Fund - Growth Option
66,119017,HDFC Top 200 Fund -Direct Plan - Dividend Option
67,119018,HDFC Top 200 Fund -Direct Plan - Growth Option
