,ID,Name
0,120376,ICICI Prudential Balanced Advantage Fund - Direct Plan -  Dividend
1,120377,ICICI Prudential Balanced Advantage Fund - Direct Plan -  Growth
2,122236,ICICI Prudential Balanced Advantage Fund - Direct Plan - Monthly Dividend
3,131451,ICICI Prudential Balanced Advantage Fund - Direct Plan - Quarterly Dividend
4,104686,ICICI Prudential Balanced Advantage Fund - Dividend
5,104685,ICICI Prudential Balanced Advantage Fund - Growth
6,122168,ICICI Prudential Balanced Advantage Fund - Monthly Dividend
7,131450,ICICI Prudential Balanced Advantage Fund - Quarterly Dividend
8,109446,ICICI Prudential Banking and Financial Services Fund -  Dividend
9,109445,ICICI Prudential Banking and Financial Services Fund -  Growth
10,120245,ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Dividend
11,120244,ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Growth
12,103028,ICICI Prudential Blended Plan A -  Dividend
13,130949,ICICI Prudential Blended Plan A - Direct Plan Bonus
14,103027,ICICI Prudential Blended Plan A - Growth
15,120311,ICICI Prudential Blended Plan A-Direct Plan -  Dividend
16,120310,ICICI Prudential Blended Plan A-Direct Plan -  Growth
17,101127,ICICI Prudential Child Care Plan Gift - Cumulative
18,120579,ICICI Prudential Child Care Plan Gift - Direct Plan - Cumulative
19,129309,ICICI Prudential Dividend Yield Equity Fund Direct Plan Dividend Option
20,129312,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option
21,129311,ICICI Prudential Dividend Yield Equity Fund Dividend Option
22,129310,ICICI Prudential Dividend Yield Equity Fund Growth Option
23,120335,ICICI Prudential Dynamic - Direct Plan -  Dividend
24,120334,ICICI Prudential Dynamic - Direct Plan -  Growth
25,101143,ICICI Prudential Dynamic - Dividend
26,101144,ICICI Prudential Dynamic - Growth
27,116715,ICICI Prudential Dynamic Plan- Institutional Dividend Option
28,115269,ICICI Prudential Dynamic Plan- Institutional Growth Option
29,104898,ICICI Prudential Dynamic Plan-Institutional Option - I
30,104682,ICICI Prudential Equity - Arbritrage Fund-Institutional Dividend Option
31,104684,ICICI Prudential Equity - Arbritrage Fund-Institutional Growth Option
32,130898,ICICI Prudential Equity Arbitrage Fund - Bonus
33,120365,ICICI Prudential Equity Arbitrage Fund - Direct Plan -  Dividend
34,120364,ICICI Prudential Equity Arbitrage Fund - Direct Plan -  Growth
35,130951,ICICI Prudential Equity Arbitrage Fund - Direct Plan Bonus
36,104681,ICICI Prudential Equity Arbitrage Fund - Dividend
37,104683,ICICI Prudential Equity Arbitrage Fund - Growth
38,133051,ICICI Prudential Equity Income Fund  - Cumulative option
39,133054,ICICI Prudential Equity Income Fund - Direct Plan - Cumulative option
40,133056,ICICI Prudential Equity Income Fund - Direct Plan - Half Yearly Dividend
41,133049,ICICI Prudential Equity Income Fund - Direct Plan - Monthly Dividend
42,133052,ICICI Prudential Equity Income Fund - Direct Plan - Quarterly Dividend
43,133057,ICICI Prudential Equity Income Fund - Half Yearly Dividend
44,133050,ICICI Prudential Equity Income Fund - Monthly Dividend
45,133053,ICICI Prudential Equity Income Fund - Quarterly Dividend
46,120687,ICICI Prudential Exports and Other Services Fund - Direct Plan - Dividend
47,120688,ICICI Prudential Exports and Other Services Fund - Direct Plan - Growth
48,103313,ICICI Prudential Exports and Other Services Fund - Dividend
49,103312,ICICI Prudential Exports and Other Services Fund - Growth
50,120588,ICICI Prudential FMCG Fund - Direct Plan -  Dividend
51,120587,ICICI Prudential FMCG Fund - Direct Plan -  Growth
52,100351,ICICI Prudential FMCG Fund - Dividend
53,100352,ICICI Prudential FMCG Fund - Growth
54,120585,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Dividend
55,120586,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth
56,108465,ICICI Prudential Focused Bluechip Equity Fund - Dividend
