,ID,Name
0,118587,Reliance Arbitrage Advantage Fund - Direct Plan Dividend Plan
1,118585,Reliance Arbitrage Advantage Fund - Direct Plan Growth Plan - Growth Option
2,113346,Reliance Arbitrage Advantage Fund - Dividend Plan
3,113345,Reliance Arbitrage Advantage Fund - Growth Plan - Growth Option
4,128821,Reliance Arbitrage Advantage Fund- Direct Plan- Monthly dividend Plan
5,128820,Reliance Arbitrage Advantage Fund-Monthly dividend Plan
6,118591,Reliance Banking Fund - Direct Plan Dividend Plan
7,118588,Reliance Banking Fund - Direct Plan Growth Plan - Bonus Option
8,118589,Reliance Banking Fund - Direct Plan Growth Plan - Growth Option
9,101864,Reliance Banking Fund-Dividend Plan-Dividend Option
10,101863,Reliance Banking Fund-Growth Plan-Bonus Option
11,101862,Reliance Banking Fund-Growth Plan-Growth Option
12,118760,Reliance Diversified Power Sector Fund - Direct Plan Dividend Plan
13,118762,Reliance Diversified Power Sector Fund - Direct Plan Growth Plan - Bonus Option
14,118763,Reliance Diversified Power Sector Fund - Direct Plan Growth Plan - Growth Option
15,101264,Reliance Diversified Power Sector Fund-Dividend Plan
16,101262,Reliance Diversified Power Sector Fund-Growth Plan -Growth Option
17,101263,Reliance Diversified Power Sector Fund-Growth Plan-Bonus Option
18,106252,Reliance Equity Opportunities  Fund Institutional Dividend Plan
19,106253,Reliance Equity Opportunities  Fund Institutional Plan Growth Plan Growth Option
20,101163,Reliance Equity Opportunities  Fund-Dividend Plan
21,101162,Reliance Equity Opportunities  Fund-Growth Plan-Bonus Option
22,101161,Reliance Equity Opportunities  Fund-Growth Plan-Growth Option
23,118652,Reliance Equity Opportunities Fund - Direct Plan Dividend Plan
24,118651,Reliance Equity Opportunities Fund - Direct Plan Growth Plan - Bonus Option
25,118650,Reliance Equity Opportunities Fund - Direct Plan Growth Plan - Growth Option
26,134595,Reliance Equity Savings Fund- Direct Plan- Growth Plan- Bonus Option
27,134594,Reliance Equity Savings Fund- Direct Plan- Growth Plan-Growth Option
28,134601,Reliance Equity Savings Fund- Direct Plan- Quarterly Dividend Plan
29,134597,Reliance Equity Savings Fund- Direct Plan-Dividend Plan
30,134599,Reliance Equity Savings Fund- Direct Plan-Monthly Dividend Plan
31,134596,Reliance Equity Savings Fund- Dividend Plan
32,134602,Reliance Equity Savings Fund- Growth Plan- Bonus Option
33,134593,Reliance Equity Savings Fund- Growth Plan- Growth Option
34,134598,Reliance Equity Savings Fund- Monthly Dividend Plan
35,134600,Reliance Equity Savings Fund- Quarterly Dividend Plan
36,118640,Reliance Focused Large Cap Fund - Direct Plan Dividend Plan
37,118641,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Bonus Option
38,118643,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Growth Option
39,103749,Reliance Focused Large Cap Fund-Dividend Plan
40,103748,Reliance Focused Large Cap Fund-Growth Plan-Bonus Option
41,103747,Reliance Focused Large Cap Fund-Growth Plan-Growth Option
42,118666,Reliance Growth Fund - Direct Plan Dividend Plan
43,118665,Reliance Growth Fund - Direct Plan Growth Plan - Bonus Option
44,118668,Reliance Growth Fund - Direct Plan Growth Plan - Growth Option
45,106260,Reliance Growth Fund Institutional Plan Dividend Plan
46,106258,Reliance Growth Fund Institutional Plan Growth Plan Growth Option
47,100375,Reliance Growth Fund-Dividend Plan-(D)
48,100376,Reliance Growth Fund-Growth Plan-Bonus Option
49,100377,Reliance Growth Fund-Growth Plan-Growth Option
50,118742,Reliance Index Fund - Nifty Plan - Direct Plan Growth Plan - Bonus Option
51,118741,Reliance Index Fund - Nifty Plan - Direct Plan Growth Plan - Growth Option
52,118745,Reliance Index Fund - Nifty Plan - Direct Plan Half Yearly Dividend Plan
53,118740,Reliance Index Fund - Nifty Plan - Direct Plan Quarterly Dividend Plan
54,118743,Reliance Index Fund - Nifty Plan - Direct Plan Yearly Dividend Plan
55,113297,Reliance Index Fund - Nifty Plan - Growth Plan - Bonus Option
56,113296,Reliance Index Fund - Nifty Plan - Growth Plan - Growth Option
57,113298,Reliance Index Fund - Nifty Plan - Quarterly Dividend Plan
58,113300,Reliance Index Fund - Nifty Plan- Annual Dividend Plan
59,113299,Reliance Index Fund - Nifty Plan- Half Yearly Dividend Plan
60,113295,Reliance Index Fund - Sensex Plan - Annual Dividend Plan
61,118786,Reliance Index Fund - Sensex Plan - Direct Plan - Annual Dividend Plan
62,118788,Reliance Index Fund - Sensex Plan - Direct Plan - Half Yearly Dividend Plan
63,118790,Reliance Index Fund - Sensex Plan - Direct Plan - Quarterly Dividend Plan
64,118785,Reliance Index Fund - Sensex Plan - Direct Plan Growth Plan - Bonus Option
65,118791,Reliance Index Fund - Sensex Plan - Direct Plan Growth Plan - Growth Option
66,113270,Reliance Index Fund - Sensex Plan - Growth Plan - Bonus Option
67,113269,Reliance Index Fund - Sensex Plan - Growth Plan - Growth Option
68,113294,Reliance Index Fund - Sensex Plan - Half Yearly Dividend Plan
69,113271,Reliance Index Fund - Sensex Plan - Quarterly Dividend Plan
70,118771,Reliance Infrastructure Fund - Direct Plan Dividend Plan - Dividend Payout Option
71,118774,Reliance Infrastructure Fund - Direct Plan Growth Plan - Bonus Option - Bonus
72,118773,Reliance Infrastructure Fund - Direct Plan Growth Plan - Growth
73,111944,Reliance Infrastructure Fund -Bonus Option
74,111945,Reliance Infrastructure Fund -Dividend Option
75,111943,Reliance Infrastructure Fund -Growth Option
76,111946,Reliance Infrastructure Fund- Institutional Plan-Growth Option
77,130864,Reliance Japan Equity Fund- Direct Plan- Dividend Plan
78,130861,Reliance Japan Equity Fund- Direct Plan- Growth Plan- Bonus Option
