,ID,Name
0,112295,Sundaram PSU Opportunities Dividend Option
1,112294,Sundaram PSU Opportunities Growth Option
2,119587,Sundaram Select Thematic Funds PSU Opportunities - Direct Plan - Dividend Option
3,119586,Sundaram Select Thematic Funds PSU Opportunities -Direct Plan - Growth Option
4,103210,Sundaram CAPEX Opportunities Fund-Dividend
5,103211,Sundaram CAPEX Opportunities Fund-Growth
6,112956,Sundaram CAPEX Opportunities Fund-Inst DIVD
7,112065,Sundaram CAPEX Opportunities Fund-Inst Growth
8,119554,Sundaram Select Thematic Funds Capex Opportunities - Direct Plan - Dividend Option
9,119555,Sundaram Select Thematic Funds Capex Opportunities -Direct Plan - Growth Option
10,107350,Sundaram Energy Opportunities Fund Dividend
11,107351,Sundaram Energy Opportunities Fund Growth
12,119558,Sundaram Select Thematic Funds Energy Opportunities - Direct Plan - Dividend Option
13,119559,Sundaram Select Thematic Funds Energy Opportunities -Direct Plan - Growth Option
14,119600,Sundaram Entertainment Opportunities Fund - Direct Plan - Dividend Option
15,109132,Sundaram Entertainment Opportunities Fund - Inst  Dividend
16,109130,Sundaram Entertainment Opportunities Fund - Inst  Growth
17,109131,Sundaram Entertainment Opportunities Fund - Regular Dividend
18,109129,Sundaram Entertainment Opportunities Fund - Regular Growth
19,119599,Sundaram Entertainment Opportunities Fund -Direct Plan - Growth Option
20,119565,Sundaram Equity Multiplier - Direct Plan - Dividend Option
21,119566,Sundaram Equity Multiplier - Direct Plan - Growth Option
22,105000,Sundaram Equity Multiplier Fund Dividend
23,105001,Sundaram Equity Multiplier Fund Growth
24,119573,Sundaram Equity plus - Direct Plan - Dividend Option
25,119572,Sundaram Equity plus - Direct Plan - Growth Option
26,115242,Sundaram Equity Plus- Dividend Option
27,115243,Sundaram Equity Plus- Dividend Re-Investment Option
28,115241,Sundaram Equity Plus- Growth Option
29,119596,Sundaram Financial Services Opportunities Fund - Direct Plan - Dividend Option
30,119597,Sundaram Financial Services Opportunities Fund - Direct Plan - Growth Option
31,109060,Sundaram Financial Services Opportunities Fund Inst  Dividend
32,109061,Sundaram Financial Services Opportunities Fund Inst  Growth
33,109058,Sundaram Financial Services Opportunities Fund Reg Dividend
34,109059,Sundaram Financial Services Opportunities Fund Reg Growth
35,119593,Sundaram Growth Fund - Direct Plan - Dividend Option
36,119592,Sundaram Growth Fund - Direct Plan - Growth Option
37,112063,Sundaram Growth Fund- Inst Dividend
38,100612,Sundaram Growth Fund-Dividend
39,100613,Sundaram Growth Fund-Growth
40,102483,Sundaram India Leadership Fund-Dividend
41,102482,Sundaram India Leadership Fund-Growth
42,114462,Sundaram India Leadership Fund-Inst Dividend
43,111921,Sundaram India Leadership Fund-Inst Growth
44,129212,Sundaram Infrastructure Advantage Fund (Erstwhile Sundaram Capex Opportunities) Direct Plan Growth
45,129213,Sundaram Infrastructure Advantage Fund (Erstwhile Sundaram Capex Opportunities) Regular Plan Growth
46,129211,Sundaram Infrastructure Advantage Fund (Merger of Capex & Energy Opportunities) Direct Plan Dividend
47,129210,Sundaram Infrastructure Advantage Fund (Merger of Capex & Energy Opportunities) Regular Plan Dividend
48,103743,Sundaram Rural India Fund Dividend
49,113373,Sundaram Rural India Fund Inst Dividend
50,119594,Sundaram Select Thematic Funds Rural India Fund - Direct Plan - Dividend Option
51,102142,Sundaram Rural India Fund Growth
52,119595,Sundaram Select Thematic Funds Rural India Fund - Direct Plan - Growth Option
53,119588,Sundaram S.M.I.L.E Fund - Direct Plan - Dividend Option
54,119589,Sundaram S.M.I.L.E Fund - Direct Plan - Growth Option
55,100794,Sundaram S.M.I.L.E.Fund-Dividend
56,100795,Sundaram S.M.I.L.E.Fund-Growth
57,112207,Sundaram S.M.I.L.E.Fund-Inst Dividend
58,112064,Sundaram S.M.I.L.E.Fund-iNST Growth
59,119577,Sundaram Select Focus - Direct Plan - Dividend Option
60,119578,Sundaram Select Focus - Direct Plan - Growth Option
61,101536,Sundaram Select Focus-Dividend
62,101537,Sundaram Select Focus-Growth
63,103953,Sundaram Select Focus-Inst Dividend
64,108305,Sundaram Select Focus-Inst Growth
65,119582,Sundaram Select Mid Cap - Direct Plan - Dividend Option
66,119581,Sundaram Select Mid Cap - Direct Plan - Growth Option
67,101538,Sundaram Select Midcap-Dividend
68,101539,Sundaram Select Midcap-Growth
69,111942,Sundaram Select Midcap-Institutional Dividend
70,111941,Sundaram Select Midcap-Institutional Growth
71,140448,Sundaram Smart Nifty 100 Equal Weight Fund - Direct Plan - Dividend Payout
72,140449,Sundaram Smart Nifty 100 Equal Weight Fund - Direct Plan - Dividend Reinvestment
73,140453,Sundaram Smart Nifty 100 Equal Weight Fund - Direct Plan - Growth
74,140451,Sundaram Smart Nifty 100 Equal Weight Fund - Regular Plan - Dividend Payout
75,140450,Sundaram Smart Nifty 100 Equal Weight Fund - Regular Plan - Dividend Reinvestment
76,140452,Sundaram Smart Nifty 100 Equal Weight Fund - Regular Plan - Growth
