,ID,Name
0,135789,Tata Banking And Financial Services Fund-Direct Plan-Dividend Payout
1,135792,Tata Banking And Financial Services Fund-Direct Plan-Dividend Reinvestment
2,135793,Tata Banking And Financial Services Fund-Direct Plan-Growth
3,135790,Tata Banking And Financial Services Fund-Regular Plan -Dividend Payout
4,135791,Tata Banking And Financial Services Fund-Regular Plan-Dividend Reinvestment
5,135794,Tata Banking And Financial Services Fund-Regular Plan-Growth
6,119324,Tata Contra Fund -Direct Plan Dividend
7,119323,Tata Contra Fund -Direct Plan Growth
8,103337,Tata Contra Fund Plan A -  Dividend
9,103336,Tata Contra Fund Plan A -  Growth
10,135795,Tata Digital India Fund-Direct Plan-Dividend Payout
11,135798,Tata Digital India Fund-Direct Plan-Dividend Reinvetsment
12,135800,Tata Digital India Fund-Direct Plan-Growth
13,135796,Tata Digital India Fund-Regular Plan-Dividend Payout
14,135799,Tata Digital India Fund-Regular Plan-Dividend Reinvestment
15,135797,Tata Digital India Fund-Regular Plan-Growth
16,102858,Tata Dividend Yield Fund  Regular Plan -( Div)
17,102859,Tata Dividend Yield Fund Regular Plan
18,119235,Tata Dividend Yield Fund-Direct Plan Dividend
19,119234,Tata Dividend Yield Fund-Direct Plan Growth
20,119190,Tata Equity Management Fund - Direct Plan Dividend
21,119189,Tata Equity Management Fund - Direct Plan Growth
22,103760,Tata Equity Management Fund Plan A- Div
23,103761,Tata Equity Management Fund Plan A - Growth
24,119201,Tata Equity Opportunities Fund -Direct Plan Dividend
25,119202,Tata Equity Opportunities Fund -Direct Plan Growth
26,101823,Tata Equity Opportunities Fund Regular Plan - Dividend
27,101824,Tata Equity Opportunities Fund Regular Plan - Growth
28,119232,Tata Equity P/E Fund -Direct Plan Dividend Trigger A (5%)
29,119233,Tata Equity P/E Fund -Direct Plan Dividend Trigger B(10%)
30,119231,Tata Equity P/E Fund -Direct Plan Growth
31,101672,Tata Equity P/E Fund Regular Plan -(Growth Option)
32,112218,Tata Equity P/E Fund Regular Plan (Dividend Trigger Option A - 5%)
33,102428,Tata Equity P/E Fund Regular Plan (Dividend Trigger Option B - 10%)
34,119171,Tata Ethical Fund -Direct Plan Dividend
35,119172,Tata Ethical Fund -Direct Plan Growth
36,101833,Tata Ethical Fund Regular Plan - Dividend
37,100415,Tata Ethical Fund Regular Plan  - Growth
38,107624,Tata Growing Economies Infrastructure Fund Scheme A Plan A - Dividend
39,107623,Tata Growing Economies Infrastructure Fund Scheme A  Plan A - Growth
40,119270,Tata Growing Economies Infrastructure Fund Scheme A-Direct Plan Dividend
41,119269,Tata Growing Economies Infrastructure Fund Scheme A-Direct Plan Growth
42,107626,Tata Growing Economies Infrastructure Fund Scheme B Plan A - Dividend
43,107625,Tata Growing Economies Infrastructure Fund Scheme B Plan A - Growth
44,119274,Tata Growing Economies Infrastructure Fund Scheme B-Direct Plan Dividend
45,119273,Tata Growing Economies Infrastructure Fund Scheme B-Direct Plan Growth
46,119288,Tata Index Fund  - Nifty-Direct Plan Nifty
47,119287,Tata Index Fund  - Sensex Direct Plan Sensex
48,101746,Tata Index Fund - Sensex-Regular Plan
49,101659,Tata Index Fund - Nifty-Regular  Plan
50,101745,Tata Index Fund - Nifty B
51,101747,Tata Index Fund - Sensex B
52,135806,Tata India Consumer Fund-Direct Plan-Dividend Payout
53,135801,Tata India Consumer Fund-Direct Plan-Dividend Reinvestment
54,135805,Tata India Consumer Fund-Direct Plan-Growth
55,135802,Tata India Consumer Fund-Regular Plan-Dividend Payout
56,135803,Tata India Consumer Fund-Regular Plan-Dividend Reinvestment
57,135804,Tata India Consumer Fund-Regular Plan-Growth
58,135807,Tata India Pharma & Healthcare Fund-Direct Plan-Dividend Payout
59,135808,Tata India Pharma & Healthcare Fund-Direct Plan-Dividend Reinvestment
60,135810,Tata India Pharma & Healthcare Fund-Direct Plan-Growth
61,135809,Tata India Pharma & Healthcare Fund-Regular Plan-Dividend Payout
62,135811,Tata India Pharma & Healthcare Fund-Regular Plan-Dividend Reinvestment
63,135812,Tata India Pharma & Healthcare Fund-Regular Plan-Growth
