,ID,Name
0,100669,UTI - Equity Fund-Growth Option
1,120662,UTI - Equity Fund-Growth Option - Direct
2,100668,UTI - Equity Fund-Income Option
3,120663,UTI - Equity Fund-Income Option - Direct
4,120659,TI - Master Plus Unit Scheme-Income Option - Direct
5,100656,UTI - Master Plus Unit Scheme-Growth Option
6,120658,UTI - Master Plus Unit Scheme-Growth Option - Direct
7,100657,UTI - Master Plus Unit Scheme-Income Option
8,100651,UTI - Master Share-Growth Option
9,120656,UTI - Master Share-Growth Option - Direct
10,100650,UTI - Master Share-Income Option
11,120657,UTI - Master Share-Income Option - Direct
12,100751,UTI - Master Value Fund-Growth Option
13,120699,UTI - Master Value Fund-Growth Option-Direct
14,100750,UTI - Master Value Fund-Income Option
15,120698,UTI - Master Value Fund-Income Option - Direct
16,100740,UTI - MNC Fund (UGS 10000)-Growth Option
17,120682,UTI - MNC Fund (UGS 10000)-Growth Option - Direct
18,100739,UTI - MNC Fund (UGS 10000)-Income Option
19,120681,UTI - MNC Fund (UGS 10000)-Income Option- Direct
20,100822,UTI - NIFTY Index Fund-Growth Option
21,120716,UTI - NIFTY Index Fund-Growth Option- Direct
22,100823,UTI - NIFTY Index Fund-Income Option
23,120717,UTI - NIFTY Index Fund-Income Option- Direct
24,100664,UTI - TOP 100 Fund- Growth Option
25,120665,UTI - TOP 100 Fund- Growth Option - Direct
26,100663,UTI - TOP 100 Fund-Income Option
27,120664,UTI - TOP 100 Fund-Income Option - Direct
28,111602,UTI - Wealth Builder Fund - Dividend Option
29,120761,UTI - Wealth Builder Fund - Dividend Option-Direct
30,111599,UTI - Wealth Builder Fund - Growth Option
31,120760,UTI - Wealth Builder Fund - Growth Option-Direct
32,102401,UTI Banking Sector Fund-Growth Option
33,120733,UTI Banking Sector Fund-Growth Option- Direct
34,102402,UTI Banking Sector Fund-Income Option
35,120732,UTI Banking Sector Fund-Income Option-Direct
36,120756,UTI Bluechip Flexicap Fund - Direct Plan - Dividend Option
37,120757,UTI Bluechip Flexicap Fund - Direct Plan - Growth Option
38,103455,UTI Bluechip Flexicap Fund - Regular Plan - Dividend Option
39,103457,UTI Bluechip Flexicap Fund - Regular Plan - Growth option
40,102267,UTI CCP Advantage Fund - Growth
41,120724,UTI CCP Advantage Fund - Growth- Direct
42,102266,UTI CCP Advantage Fund - Income
43,120725,UTI CCP Advantage Fund - Income- Direct
44,103534,UTI Contra Fund-Growth-Growth Option
45,120759,UTI Contra Fund-Growth-Growth Option-Direct
46,103532,UTI Contra Fund-Income-Dividend Option
47,120758,UTI Contra Fund-Income-Dividend Option-Direct
48,100805,UTI Energy Fund-Growth Option
49,120770,UTI Energy Fund-Growth Option-Direct
50,100804,UTI Energy Fund-Income Option
51,120769,UTI Energy Fund-Income Option-Direct
52,100807,UTI Pharma & Healthcare Fund-Growth Option
53,120782,UTI Pharma & Healthcare Fund-Growth Option- Direct
54,100806,UTI Pharma & Healthcare Fund-Income Option
55,120783,UTI Pharma & Healthcare Fund-Income Option-Direct
56,100809,UTI Services Industries Fund-Growth Option
57,120767,UTI Services Industries Fund-Growth Option- Direct
58,100808,UTI Services Industries Fund-Income Option
59,120768,UTI Services Industries Fund-Income Option-Direct
60,102395,UTI Infrastructure Fund-Growth Option
61,120728,UTI Infrastructure Fund-Growth Option- Direct
62,102396,UTI Infrastructure Fund-Income Option
63,120729,UTI Infrastructure Fund-Income Option- Direct
64,102394,UTI Mid Cap Fund-Growth Option
65,120726,UTI Mid Cap Fund-Growth Option- Direct
66,102393,UTI Mid Cap Fund-Income Option
67,120727,UTI Mid Cap Fund-Income Option- Direct
68,131161,UTI Multi Cap Fund - Dividend Option
69,131162,UTI Multi Cap Fund - Dividend Option - Direct
70,131163,UTI Multi Cap Fund - Growth Option
71,131164,UTI Multi Cap Fund - Growth Option - Direct
72,103097,UTI Opportunities Fund-Dividend Option
73,120752,UTI Opportunities Fund-Dividend Option-Direct
74,103098,UTI Opportunities Fund-Growth Option
75,120751,UTI Opportunities Fund-Growth Option-Direct
76,104074,UTI Spread Fund - Dividend Option
77,120796,UTI Spread Fund - Dividend Option- Direct
78,104075,UTI Spread Fund - Growth Option
79,120795,UTI Spread Fund - Growth Option- Direct
80,103026,UTI-Dividend Yield Fund.-Growth
81,120749,UTI-Dividend Yield Fund.-Growth-Direct
82,103025,UTI-Dividend Yield Fund.-Income
83,120750,UTI-Dividend Yield Fund.-Income-Direct
84,102397,UTI-Transportation and Logistics Fund-Income Option
85,120730,UTI-Transportation and Logistics Fund-Income Option- Direct
86,102398,UTI-Transpotation and Logistics  Fund-Growth Option
87,120731,UTI-Transpotation and Logistics  Fund-Growth Option- Direct
